18:17:58.369 [main] INFO  main.java.com.solvd.vehiclefactory.Runner - Octavia Oliver owns this vehicle factory.
18:17:58.374 [main] INFO  main.java.com.solvd.vehiclefactory.Runner - India Inigo's hourly rate has been changed from 40.0 to 50.0 by Mickaela Mittens.
18:17:58.374 [main] INFO  main.java.com.solvd.vehiclefactory.Runner - India Inigo's department has been changed from Interior to Tire by Mickaela Mittens.
18:17:58.374 [main] INFO  main.java.com.solvd.vehiclefactory.Runner - *************************************************
18:17:58.374 [main] INFO  main.java.com.solvd.vehiclefactory.Runner - Starting Inventory: [[4 Metal Door], [100 Solder Roll], [1 Motor], [4 White Paint], [10 Fabric Roll], [4 Tires], [50 Sheets of Paper]]
18:17:58.375 [main] INFO  main.java.com.solvd.vehiclefactory.Runner - Metal Door is low in stock.
18:17:58.376 [main] INFO  main.java.com.solvd.vehiclefactory.Runner - Motor is low in stock.
18:17:58.376 [main] INFO  main.java.com.solvd.vehiclefactory.Runner - White Paint is low in stock.
18:17:58.376 [main] INFO  main.java.com.solvd.vehiclefactory.Runner - Tires is low in stock.
18:17:58.380 [main] INFO  main.java.com.solvd.vehiclefactory.Runner - 3
18:17:58.381 [main] INFO  main.java.com.solvd.vehiclefactory.Runner - [4 Metal Door] removed from inventory.
18:17:58.381 [main] INFO  main.java.com.solvd.vehiclefactory.Runner - Green Toyota Camry SE Nightshade
18:17:58.382 [main] INFO  main.java.com.solvd.vehiclefactory.Runner - Sissy Simpson Stamps Metal.
18:17:58.382 [main] INFO  main.java.com.solvd.vehiclefactory.Runner - **********************************
18:17:58.382 [main] INFO  main.java.com.solvd.vehiclefactory.Runner - Current inventory: [100 Solder Roll][1 Motor][4 White Paint][10 Fabric Roll][4 Tires][50 Sheets of Paper]
18:17:58.382 [main] INFO  main.java.com.solvd.vehiclefactory.Runner - [100 Solder Roll] removed from inventory.
18:17:58.382 [main] INFO  main.java.com.solvd.vehiclefactory.Runner - Green Toyota Camry SE Nightshade
18:17:58.382 [main] INFO  main.java.com.solvd.vehiclefactory.Runner - Wendy Wotts Stamps Metal.
18:17:58.383 [main] INFO  main.java.com.solvd.vehiclefactory.Runner - **********************************
18:17:58.383 [main] INFO  main.java.com.solvd.vehiclefactory.Runner - Current inventory: [1 Motor][4 White Paint][10 Fabric Roll][4 Tires][50 Sheets of Paper]
18:17:58.383 [main] INFO  main.java.com.solvd.vehiclefactory.Runner - [1 Motor] removed from inventory.
18:17:58.383 [main] INFO  main.java.com.solvd.vehiclefactory.Runner - Green Toyota Camry SE Nightshade
18:17:58.383 [main] INFO  main.java.com.solvd.vehiclefactory.Runner - Molly Mackey Mechanizes.
18:17:58.383 [main] INFO  main.java.com.solvd.vehiclefactory.Runner - **********************************
18:17:58.384 [main] INFO  main.java.com.solvd.vehiclefactory.Runner - Current inventory: [4 White Paint][10 Fabric Roll][4 Tires][50 Sheets of Paper]
18:17:58.384 [main] INFO  main.java.com.solvd.vehiclefactory.Runner - [4 White Paint] removed from inventory.
18:17:58.384 [main] INFO  main.java.com.solvd.vehiclefactory.Runner - Green Toyota Camry SE Nightshade
18:17:58.384 [main] INFO  main.java.com.solvd.vehiclefactory.Runner - Penny Prince paints an undercoat of gray paint.
18:17:58.384 [main] INFO  main.java.com.solvd.vehiclefactory.Runner - Penny Prince paints a final coat of Green.
18:17:58.384 [main] INFO  main.java.com.solvd.vehiclefactory.Runner - **********************************
18:17:58.384 [main] INFO  main.java.com.solvd.vehiclefactory.Runner - Current inventory: [10 Fabric Roll][4 Tires][50 Sheets of Paper]
18:17:58.385 [main] INFO  main.java.com.solvd.vehiclefactory.Runner - [10 Fabric Roll] removed from inventory.
18:17:58.385 [main] INFO  main.java.com.solvd.vehiclefactory.Runner - Green Toyota Camry SE Nightshade
18:17:58.386 [main] INFO  main.java.com.solvd.vehiclefactory.Runner - India Inigo Installs Trim.
18:17:58.386 [main] INFO  main.java.com.solvd.vehiclefactory.Runner - **********************************
18:17:58.386 [main] INFO  main.java.com.solvd.vehiclefactory.Runner - Current inventory: [4 Tires][50 Sheets of Paper]
18:17:58.387 [main] INFO  main.java.com.solvd.vehiclefactory.Runner - [4 Tires] removed from inventory.
18:17:58.387 [main] INFO  main.java.com.solvd.vehiclefactory.Runner - Green Toyota Camry SE Nightshade
18:17:58.387 [main] INFO  main.java.com.solvd.vehiclefactory.Runner - Tia Timber Installs Tires.
